subtopic_name,question_text,explanation,answer_1,is_correct_1,answer_2,is_correct_2,answer_3,is_correct_3,answer_4,is_correct_4,answer_5,is_correct_5
History and Examination,"A 46‑year‑old man arrives for an emergency visit complaining of “bad tooth pain.” After a 2‑minute uninterrupted narrative still yielding new information, what is the most appropriate next action?","A brief, respectful summary at this point preserves rapport and transitions efficiently to focused diagnostic questioning.",Interrupt immediately and switch to closed questions,FALSE,Allow him to continue until he stops naturally,FALSE,Interrupt supportively to summarise and refocus before targeted questions,TRUE,Move him to the supine position,FALSE,Begin examination while he talks,FALSE
History and Examination,"A 32‑year‑old woman reports vague “upper right pain” for 5 days. Which single question best helps distinguish pulpal inflammatory pain from non‑odontogenic causes?","Nocturnal waking and lingering thermal pain strongly suggest irreversible pulpal inflammation.",Clenching/grinding at night?,FALSE,Pain wake you or linger after hot/cold?,TRUE,Jaw joint noises?,FALSE,Sinus congestion today?,FALSE,Stress level recently?,FALSE
History and Examination,"A 55‑year‑old woman drinks all 14 weekly units on Saturday. Best initial counselling point?","Current advice emphasises distributing ≤14 units over several days with alcohol‑free days to reduce binge‑related risk.",Guidance met; no change,FALSE,Concentrated pattern raises risk—spread with alcohol‑free days,TRUE,Switch to spirits,FALSE,Add water to double units safely mid‑week,FALSE,Pattern irrelevant; only total matters,FALSE
History and Examination,"A 38‑year‑old ex‑smoker now vapes frequently and asks if he should return to “a few cigarettes.” Best response?","E‑cigarettes are substantially less harmful than smoking; counsel continued harm reduction and planned nicotine cessation without relapse to tobacco.",Return to limited smoking,FALSE,Vaping less harmful but not risk‑free; support reduction/cessation,TRUE,Risks identical; no difference,FALSE,Abrupt nicotine cessation without support,FALSE,Long‑term antibiotics,FALSE
History and Examination,"A 44‑year‑old chews areca with lime (no tobacco) twice daily. Most accurate counselling?","Areca (betel) nut alone increases risk of oral submucous fibrosis and malignant transformation.",Negligible risk without tobacco,FALSE,Independent risk for oral potentially malignant disorders,TRUE,Only alcohol+tobacco elevate risk,FALSE,Switch to cigarettes instead,FALSE,Causes staining only,FALSE
History and Examination,"A 71‑year‑old lists only “blood pressure pills” but is taking apixaban for recent DVT; extraction planned. Scenario illustrates what?","Explicit, structured questioning captures high‑impact medications patients frequently omit or mislabel.",Reliable recall of drug names,FALSE,DOACs irrelevant to planning,FALSE,Structured prompts reduce omission of high‑impact drugs,TRUE,Apixaban must always stop 72 h prior,FALSE,Written form alone sufficient,FALSE
History and Examination,"A 68‑year‑old on oral alendronate (5 years) needs non‑surgical periodontal therapy; two implants placed pre‑therapy. Appropriate management statement?","Routine non‑surgical care proceeds normally; MRONJ risk with oral bisphosphonate in this context is low and cessation unnecessary.",Stop alendronate permanently,FALSE,Proceed routinely with standard precautions,TRUE,Remove implants prophylactically,FALSE,High‑dose IV antibiotics first,FALSE,Therapy contraindicated,FALSE
History and Examination,"Pilot screening finds a rested 59‑year‑old with 166/98 mmHg. No symptoms, no history. Immediate action?","Confirm elevated reading then refer per pilot pathway; initiation of therapy lies with the GP.",Diagnose and start medication,FALSE,Ignore reading,FALSE,Repeat, document, provide referral/advice to see GP,TRUE,Send to emergency department,FALSE,Perform invasive surgery to test haemostasis,FALSE
History and Examination,"A 29‑year‑old triathlete has new palatal erosion; denies sweets, good hygiene. Most revealing additional question?","Frequent acidic sports/energy drink sipping is a key erosive factor often overlooked in standard diet histories.",Floss nightly?,FALSE,Electric or manual brush?,FALSE,Frequency of sipping isotonic/energy drinks during training?,TRUE,Vitamin D tablets?,FALSE,Recent sinus infections?,FALSE
History and Examination,"A 42‑year‑old with fractured restorations and morning jaw tightness unsure about grinding. Best follow‑up?","Tongue/cheek indentations plus morning symptoms support sleep bruxism suspicion when patient is uncertain.",Wake with tongue/cheek tooth marks?,TRUE,Post‑nasal drip?,FALSE,Spicy foods burn?,FALSE,Sunbathing frequency?,FALSE,Changed toothbrush brand?,FALSE
